agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
birmingham-jefferson-county-transit-authority,Birmingham Jefferson County Transit Authority,F,19.1,2026-07-05,stale,-1309,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
birmingham-jefferson-county-transit-authority-max-2263,Birmingham Jefferson County Transit Authority (MAX),F,34.8,2026-07-05,stale,-400,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
birmingham-jefferson-county-transit-authority-max,Birmingham Jefferson County Transit Authority (MAX),F,46.0,2026-07-05,stale,-2743,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
capital-trailways,Capital Trailways,F,46.7,2026-07-05,stale,-679,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
huntsville-shuttle,Huntsville Shuttle,F,46.7,2026-07-05,stale,-1282,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
areawide-community-transportation-system,Areawide Community Transportation System,F,57.2,2026-07-05,lapsed,-278,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
huntsville-shuttle-2081,Huntsville Shuttle,C,72.3,2026-07-05,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
montgomery-transit,Montgomery Transit,C,78.5,2026-07-05,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
montgomery-transit-338,Montgomery Transit,C,78.5,2026-07-05,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
city-of-gadsen,COG Trolley Routes,B,88.4,2026-07-05,current,954,no,,Populate trip_headsign to match what the bus displays.,
