agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
lehigh-and-northampton-transportation-authority-lanta,Lehigh and Northampton Transportation Authority (LANTA),F,14.1,2026-07-03,stale,-1396,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
centre-county-transit-authority-cata,CATABUS,F,22.0,2026-07-03,stale,-1777,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
rabbit-transit,Rabbit Transit,F,34.6,2026-07-03,stale,-1280,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
beaver-county-transit-authority,Beaver County Transit Authority,F,45.0,2026-07-03,stale,-1645,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
berks-area-regional-transportation-authority-barta,Berks Area Regional Transportation Authority (BARTA),F,45.4,2026-07-03,stale,-1280,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
erie-metropolitan-transit-authority,Erie Metropolitan Transit Authority,F,45.7,2026-07-03,stale,-975,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
erie-metropolitan-transit-authority-412,Erie Metropolitan Transit Authority,F,45.7,2026-07-03,stale,-975,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
red-rose-transit-authority-rrta,Red Rose Transit Authority (RRTA),F,48.0,2026-07-03,stale,-1645,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
monroe-county-transportation-authority-mcta,Monroe County Transportation Authority (MCTA),F,52.4,2026-07-03,stale,-846,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
southeastern-pennsylvania-transportation-authority-septa,Bus,D,63.2,2026-07-03,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.
southeastern-pennsylvania-transportation-authority-septa-503,Rail,C,76.0,2026-07-03,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.
port-authority-of-allegheny-county,Port Authority of Allegheny County,F,56.8,2026-07-03,current,113,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
berks-area-regional-transportation-authority-barta-2064,Berks Area Regional Transportation Authority (BARTA),D,61.7,2026-07-03,current,184,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
red-rose-transit-authority-rrta-2000,Red Rose Transit Authority (RRTA),C,71.3,2026-07-03,current,546,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
beaver-county-transit-authority-2262,Beaver County Transit Authority,C,77.0,2026-07-03,current,181,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
phlash,Philly PHLASH,A,95.0,2026-07-03,current,337,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default)."
