agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
green-bay-metro,Green Bay Metro,F,26.9,2026-07-06,stale,-2013,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
milwaukee-county-transit-system-mcts,Milwaukee County Transit System (MCTS),F,39.6,2026-07-06,stale,-856,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
ryde-racine,Ryde Racine,F,45.3,2026-07-06,stale,-1466,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
ryde-racine-395,Ryde Racine,F,45.3,2026-07-06,stale,-1466,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
valley-transit-wi,Valley Transit (WI),F,47.3,2026-07-06,stale,-918,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
waukesha-metro-transit,Waukesha Metro Transit,F,51.6,2026-07-06,stale,-400,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
waukesha-metro-transit-396,Waukesha Metro Transit,F,51.6,2026-07-06,stale,-400,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
janesville-transit-system-2239,Janesville Transit System,F,52.5,2026-07-06,lapsed,-312,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
milwaukee-county-transit-system-mcts-2127,Milwaukee County Transit System (MCTS),D,66.0,2026-07-06,current,47,yes,Service data expires in 47 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
metro-transit-city-of-madison,Metro Transit - City of Madison,B,85.5,2026-07-06,current,40,yes,Service data expires in 40 day(s),"Use mixed case for stop names and headsigns (e.g. 'Main St & 2nd Ave', not 'MAIN ST & 2ND AVE').",
beloit-transit,Beloit Transit,F,37.8,2026-06-27,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,
beloit-transit-392,Beloit Transit,F,37.8,2026-06-30,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,
valley-transit-wi-2069,Valley Transit (WI),D,60.3,2026-07-06,current,26841,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
metro-ride,Metro Ride,C,77.8,2026-07-06,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
metro-ride-830,Metro Ride,C,77.8,2026-07-06,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
ryde-racine-2246,Ryde Racine,C,78.4,2026-07-06,current,543,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
janesville-transit-system,Janesville Transit System,B,82.2,2026-07-06,current,157,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
janesville-transit-system-393,Janesville Transit System,B,82.2,2026-07-06,current,157,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
shoreline-metro,Shoreline Metro,B,83.1,2026-07-06,current,543,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
shoreline-metro-399,Shoreline Metro,B,83.1,2026-07-06,current,543,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
go-transit,GO Transit,B,87.5,2026-07-06,current,117,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
go-transit-397,GO Transit,B,87.5,2026-07-06,current,117,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
